[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2010, Metric: ROCE, Computed: 6.00%, Benchmark: 15.00% (absolute threshold), Difference: 9.00%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2015, Metric: ROCE, Computed: 7.20%, Benchmark: 15.00% (absolute threshold), Difference: 7.80%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2015, Metric: Return on Equity, Computed: 4.44%, Pre-computed: 13.50%, Difference: 9.06%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.484250] [data source issue] Company: COMP21, Metric: ROCE, Computed: 7.20% if calculated, Description: Pre-computed roce_percentage column is missing in companies.xlsx source file.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2016, Metric: ROCE, Computed: 7.13%, Benchmark: 15.00% (absolute threshold), Difference: 7.87%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2016, Metric: Return on Equity, Computed: 4.31%, Pre-computed: 13.50%, Difference: 9.19%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2017, Metric: ROCE, Computed: 7.06%, Benchmark: 15.00% (absolute threshold), Difference: 7.94%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2017, Metric: Return on Equity, Computed: 4.17%, Pre-computed: 13.50%, Difference: 9.33%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2018, Metric: ROCE, Computed: 7.00%, Benchmark: 15.00% (absolute threshold), Difference: 8.00%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2018, Metric: Return on Equity, Computed: 4.05%, Pre-computed: 13.50%, Difference: 9.45%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2019, Metric: ROCE, Computed: 6.93%, Benchmark: 15.00% (absolute threshold), Difference: 8.07%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2019, Metric: Return on Equity, Computed: 3.93%, Pre-computed: 13.50%, Difference: 9.57%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2020, Metric: ROCE, Computed: 6.87%, Benchmark: 15.00% (absolute threshold), Difference: 8.13%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2020, Metric: Return on Equity, Computed: 3.81%, Pre-computed: 13.50%, Difference: 9.69%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2021, Metric: ROCE, Computed: 6.80%, Benchmark: 15.00% (absolute threshold), Difference: 8.20%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2021, Metric: Return on Equity, Computed: 3.70%, Pre-computed: 13.50%, Difference: 9.80%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2022, Metric: ROCE, Computed: 6.74%, Benchmark: 15.00% (absolute threshold), Difference: 8.26%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2022, Metric: Return on Equity, Computed: 3.60%, Pre-computed: 13.50%, Difference: 9.90%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2023, Metric: ROCE, Computed: 6.67%, Benchmark: 15.00% (absolute threshold), Difference: 8.33%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.484250] [formula discrepancy] Company: COMP21, Year: 2023, Metric: Return on Equity, Computed: 3.50%, Pre-computed: 13.50%, Difference: 10.00%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.488716] [formula discrepancy] Company: COMP22, Year: 2010, Metric: ROCE, Computed: 7.58%, Benchmark: 7.89% (sector-relative financials benchmark), Difference: 0.31%, Description: ROCE is below the benchmark of 7.89%.
[2026-07-16T00:43:28.488716] [formula discrepancy] Company: COMP22, Year: 2011, Metric: ROCE, Computed: 7.80%, Benchmark: 8.12% (sector-relative financials benchmark), Difference: 0.32%, Description: ROCE is below the benchmark of 8.12%.
[2026-07-16T00:43:28.488716] [formula discrepancy] Company: COMP22, Year: 2012, Metric: ROCE, Computed: 8.02%, Benchmark: 8.15% (sector-relative financials benchmark), Difference: 0.13%, Description: ROCE is below the benchmark of 8.15%.
[2026-07-16T00:43:28.488716] [formula discrepancy] Company: COMP22, Year: 2013, Metric: ROCE, Computed: 8.25%, Benchmark: 8.58% (sector-relative financials benchmark), Difference: 0.34%, Description: ROCE is below the benchmark of 8.58%.
[2026-07-16T00:43:28.488716] [formula discrepancy] Company: COMP22, Year: 2014, Metric: ROCE, Computed: 8.48%, Benchmark: 8.83% (sector-relative financials benchmark), Difference: 0.34%, Description: ROCE is below the benchmark of 8.83%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2015, Metric: ROCE, Computed: 8.72%, Benchmark: 9.08% (sector-relative financials benchmark), Difference: 0.35%, Description: ROCE is below the benchmark of 9.08%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2015, Metric: Return on Equity, Computed: 5.45%, Pre-computed: 13.55%, Difference: 8.10%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.489130] [data source issue] Company: COMP22, Metric: ROCE, Computed: 8.72% if calculated, Description: Pre-computed roce_percentage column is missing in companies.xlsx source file.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2016, Metric: ROCE, Computed: 8.97%, Benchmark: 9.33% (sector-relative financials benchmark), Difference: 0.36%, Description: ROCE is below the benchmark of 9.33%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2016, Metric: Return on Equity, Computed: 5.60%, Pre-computed: 13.55%, Difference: 7.95%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2017, Metric: ROCE, Computed: 9.22%, Benchmark: 9.60% (sector-relative financials benchmark), Difference: 0.37%, Description: ROCE is below the benchmark of 9.60%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2017, Metric: Return on Equity, Computed: 5.76%, Pre-computed: 13.55%, Difference: 7.79%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2018, Metric: ROCE, Computed: 9.48%, Benchmark: 9.87% (sector-relative financials benchmark), Difference: 0.39%, Description: ROCE is below the benchmark of 9.87%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2018, Metric: Return on Equity, Computed: 5.93%, Pre-computed: 13.55%, Difference: 7.62%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2019, Metric: ROCE, Computed: 9.75%, Benchmark: 10.15% (sector-relative financials benchmark), Difference: 0.40%, Description: ROCE is below the benchmark of 10.15%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2019, Metric: Return on Equity, Computed: 6.09%, Pre-computed: 13.55%, Difference: 7.46%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2020, Metric: ROCE, Computed: 10.03%, Benchmark: 10.43% (sector-relative financials benchmark), Difference: 0.41%, Description: ROCE is below the benchmark of 10.43%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2020, Metric: Return on Equity, Computed: 6.27%, Pre-computed: 13.55%, Difference: 7.28%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2021, Metric: ROCE, Computed: 10.31%, Benchmark: 10.73% (sector-relative financials benchmark), Difference: 0.42%, Description: ROCE is below the benchmark of 10.73%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2021, Metric: Return on Equity, Computed: 6.44%, Pre-computed: 13.55%, Difference: 7.11%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2022, Metric: ROCE, Computed: 10.60%, Benchmark: 11.03% (sector-relative financials benchmark), Difference: 0.43%, Description: ROCE is below the benchmark of 11.03%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2022, Metric: Return on Equity, Computed: 6.63%, Pre-computed: 13.55%, Difference: 6.92%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2023, Metric: ROCE, Computed: 10.90%, Benchmark: 11.19% (sector-relative financials benchmark), Difference: 0.29%, Description: ROCE is below the benchmark of 11.19%.
[2026-07-16T00:43:28.489130] [formula discrepancy] Company: COMP22, Year: 2023, Metric: Return on Equity, Computed: 6.81%, Pre-computed: 13.55%, Difference: 6.74%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.491236] [formula discrepancy] Company: COMP23, Year: 2010, Metric: ROCE, Computed: 7.62%, Benchmark: 15.00% (absolute threshold), Difference: 7.38%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.491236] [formula discrepancy] Company: COMP23, Year: 2011, Metric: ROCE, Computed: 8.12%, Benchmark: 15.00% (absolute threshold), Difference: 6.88%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.491236] [formula discrepancy] Company: COMP23, Year: 2012, Metric: ROCE, Computed: 8.66%, Benchmark: 15.00% (absolute threshold), Difference: 6.34%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.491236] [formula discrepancy] Company: COMP23, Year: 2013, Metric: ROCE, Computed: 9.23%, Benchmark: 15.00% (absolute threshold), Difference: 5.77%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.491236] [formula discrepancy] Company: COMP23, Year: 2014, Metric: ROCE, Computed: 9.84%, Benchmark: 15.00% (absolute threshold), Difference: 5.16%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.491236] [formula discrepancy] Company: COMP23, Year: 2015, Metric: ROCE, Computed: 10.49%, Benchmark: 15.00% (absolute threshold), Difference: 4.51%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.491236] [data source issue] Company: COMP23, Metric: ROCE, Computed: 10.49% if calculated, Description: Pre-computed roce_percentage column is missing in companies.xlsx source file.
[2026-07-16T00:43:28.491236] [formula discrepancy] Company: COMP23, Year: 2016, Metric: ROCE, Computed: 11.18%, Benchmark: 15.00% (absolute threshold), Difference: 3.82%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.491236] [formula discrepancy] Company: COMP23, Year: 2017, Metric: ROCE, Computed: 11.92%, Benchmark: 15.00% (absolute threshold), Difference: 3.08%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.491236] [formula discrepancy] Company: COMP23, Year: 2018, Metric: ROCE, Computed: 12.71%, Benchmark: 15.00% (absolute threshold), Difference: 2.29%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.491236] [formula discrepancy] Company: COMP23, Year: 2019, Metric: ROCE, Computed: 13.55%, Benchmark: 15.00% (absolute threshold), Difference: 1.45%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.492237] [formula discrepancy] Company: COMP23, Year: 2020, Metric: ROCE, Computed: 14.44%, Benchmark: 15.00% (absolute threshold), Difference: 0.56%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.493239] [formula discrepancy] Company: COMP24, Year: 2010, Metric: ROCE, Computed: 7.65%, Benchmark: 15.00% (absolute threshold), Difference: 7.35%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.493239] [formula discrepancy] Company: COMP24, Year: 2011, Metric: ROCE, Computed: 8.45%, Benchmark: 15.00% (absolute threshold), Difference: 6.55%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.493239] [formula discrepancy] Company: COMP24, Year: 2012, Metric: ROCE, Computed: 9.32%, Benchmark: 15.00% (absolute threshold), Difference: 5.68%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.493239] [formula discrepancy] Company: COMP24, Year: 2013, Metric: ROCE, Computed: 10.29%, Benchmark: 15.00% (absolute threshold), Difference: 4.71%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.493239] [formula discrepancy] Company: COMP24, Year: 2014, Metric: ROCE, Computed: 11.36%, Benchmark: 15.00% (absolute threshold), Difference: 3.64%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.493239] [formula discrepancy] Company: COMP24, Year: 2015, Metric: ROCE, Computed: 12.54%, Benchmark: 15.00% (absolute threshold), Difference: 2.46%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.493239] [formula discrepancy] Company: COMP24, Year: 2015, Metric: Return on Equity, Computed: 29.60%, Pre-computed: 13.65%, Difference: 15.95%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.493239] [data source issue] Company: COMP24, Metric: ROCE, Computed: 12.54% if calculated, Description: Pre-computed roce_percentage column is missing in companies.xlsx source file.
[2026-07-16T00:43:28.494241] [formula discrepancy] Company: COMP24, Year: 2016, Metric: ROCE, Computed: 13.84%, Benchmark: 15.00% (absolute threshold), Difference: 1.16%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.494241] [formula discrepancy] Company: COMP24, Year: 2016, Metric: Return on Equity, Computed: 32.67%, Pre-computed: 13.65%, Difference: 19.02%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.494241] [formula discrepancy] Company: COMP24, Year: 2017, Metric: Return on Equity, Computed: 36.07%, Pre-computed: 13.65%, Difference: 22.42%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.494241] [formula discrepancy] Company: COMP24, Year: 2018, Metric: Return on Equity, Computed: 39.81%, Pre-computed: 13.65%, Difference: 26.16%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.494241] [formula discrepancy] Company: COMP24, Year: 2019, Metric: Return on Equity, Computed: 43.94%, Pre-computed: 13.65%, Difference: 30.29%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.494241] [formula discrepancy] Company: COMP24, Year: 2020, Metric: Return on Equity, Computed: 48.50%, Pre-computed: 13.65%, Difference: 34.85%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.494241] [formula discrepancy] Company: COMP24, Year: 2021, Metric: Return on Equity, Computed: 53.53%, Pre-computed: 13.65%, Difference: 39.88%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.494241] [formula discrepancy] Company: COMP24, Year: 2022, Metric: Return on Equity, Computed: 59.09%, Pre-computed: 13.65%, Difference: 45.44%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.494241] [formula discrepancy] Company: COMP24, Year: 2023, Metric: Return on Equity, Computed: 65.22%, Pre-computed: 13.65%, Difference: 51.57%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.495243] [formula discrepancy] Company: COMP25, Year: 2010, Metric: ROCE, Computed: 7.68%, Benchmark: 15.00% (absolute threshold), Difference: 7.32%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.496248] [formula discrepancy] Company: COMP25, Year: 2011, Metric: ROCE, Computed: 8.77%, Benchmark: 15.00% (absolute threshold), Difference: 6.23%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.496248] [formula discrepancy] Company: COMP25, Year: 2012, Metric: ROCE, Computed: 10.01%, Benchmark: 15.00% (absolute threshold), Difference: 4.99%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.496248] [formula discrepancy] Company: COMP25, Year: 2013, Metric: ROCE, Computed: 11.43%, Benchmark: 15.00% (absolute threshold), Difference: 3.57%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.496248] [formula discrepancy] Company: COMP25, Year: 2014, Metric: ROCE, Computed: 13.05%, Benchmark: 15.00% (absolute threshold), Difference: 1.95%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.496248] [formula discrepancy] Company: COMP25, Year: 2015, Metric: ROCE, Computed: 14.89%, Benchmark: 15.00% (absolute threshold), Difference: 0.11%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.496248] [formula discrepancy] Company: COMP25, Year: 2015, Metric: Return on Equity, Computed: 4.14%, Pre-computed: 13.70%, Difference: 9.56%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.496248] [data source issue] Company: COMP25, Metric: ROCE, Computed: 14.89% if calculated, Description: Pre-computed roce_percentage column is missing in companies.xlsx source file.
[2026-07-16T00:43:28.496248] [formula discrepancy] Company: COMP25, Year: 2016, Metric: Return on Equity, Computed: 4.72%, Pre-computed: 13.70%, Difference: 8.98%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.496248] [formula discrepancy] Company: COMP25, Year: 2017, Metric: Return on Equity, Computed: 5.39%, Pre-computed: 13.70%, Difference: 8.31%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.496248] [formula discrepancy] Company: COMP25, Year: 2018, Metric: Return on Equity, Computed: 6.15%, Pre-computed: 13.70%, Difference: 7.55%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.496248] [formula discrepancy] Company: COMP25, Year: 2019, Metric: Return on Equity, Computed: 7.02%, Pre-computed: 13.70%, Difference: 6.68%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.496248] [formula discrepancy] Company: COMP25, Year: 2020, Metric: Return on Equity, Computed: 8.02%, Pre-computed: 13.70%, Difference: 5.68%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.498259] [formula discrepancy] Company: COMP26, Year: 2010, Metric: ROCE, Computed: 7.71%, Benchmark: 15.00% (absolute threshold), Difference: 7.29%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.498259] [formula discrepancy] Company: COMP26, Year: 2011, Metric: ROCE, Computed: 7.64%, Benchmark: 15.00% (absolute threshold), Difference: 7.36%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.498259] [formula discrepancy] Company: COMP26, Year: 2012, Metric: ROCE, Computed: 7.57%, Benchmark: 15.00% (absolute threshold), Difference: 7.43%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.498259] [formula discrepancy] Company: COMP26, Year: 2013, Metric: ROCE, Computed: 7.50%, Benchmark: 15.00% (absolute threshold), Difference: 7.50%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.498259] [formula discrepancy] Company: COMP26, Year: 2014, Metric: ROCE, Computed: 7.43%, Benchmark: 15.00% (absolute threshold), Difference: 7.57%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.498259] [formula discrepancy] Company: COMP26, Year: 2015, Metric: ROCE, Computed: 7.36%, Benchmark: 15.00% (absolute threshold), Difference: 7.64%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.498259] [formula discrepancy] Company: COMP26, Year: 2015, Metric: Return on Equity, Computed: 6.13%, Pre-computed: 13.75%, Difference: 7.62%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.498259] [data source issue] Company: COMP26, Metric: ROCE, Computed: 7.36% if calculated, Description: Pre-computed roce_percentage column is missing in companies.xlsx source file.
[2026-07-16T00:43:28.498259] [formula discrepancy] Company: COMP26, Year: 2016, Metric: ROCE, Computed: 7.29%, Benchmark: 15.00% (absolute threshold), Difference: 7.71%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.498259] [formula discrepancy] Company: COMP26, Year: 2016, Metric: Return on Equity, Computed: 6.07%, Pre-computed: 13.75%, Difference: 7.68%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.498259] [formula discrepancy] Company: COMP26, Year: 2017, Metric: ROCE, Computed: 7.22%, Benchmark: 15.00% (absolute threshold), Difference: 7.78%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.499261] [formula discrepancy] Company: COMP26, Year: 2017, Metric: Return on Equity, Computed: 6.02%, Pre-computed: 13.75%, Difference: 7.73%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.499261] [formula discrepancy] Company: COMP26, Year: 2018, Metric: ROCE, Computed: 7.15%, Benchmark: 15.00% (absolute threshold), Difference: 7.85%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.499261] [formula discrepancy] Company: COMP26, Year: 2018, Metric: Return on Equity, Computed: 5.96%, Pre-computed: 13.75%, Difference: 7.79%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.499261] [formula discrepancy] Company: COMP26, Year: 2019, Metric: ROCE, Computed: 7.08%, Benchmark: 15.00% (absolute threshold), Difference: 7.92%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.499261] [formula discrepancy] Company: COMP26, Year: 2019, Metric: Return on Equity, Computed: 5.90%, Pre-computed: 13.75%, Difference: 7.85%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.499261] [formula discrepancy] Company: COMP26, Year: 2020, Metric: ROCE, Computed: 7.02%, Benchmark: 15.00% (absolute threshold), Difference: 7.98%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.499261] [formula discrepancy] Company: COMP26, Year: 2020, Metric: Return on Equity, Computed: 5.85%, Pre-computed: 13.75%, Difference: 7.90%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.499261] [formula discrepancy] Company: COMP26, Year: 2021, Metric: ROCE, Computed: 6.95%, Benchmark: 15.00% (absolute threshold), Difference: 8.05%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.499261] [formula discrepancy] Company: COMP26, Year: 2021, Metric: Return on Equity, Computed: 5.79%, Pre-computed: 13.75%, Difference: 7.96%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.499261] [formula discrepancy] Company: COMP26, Year: 2022, Metric: ROCE, Computed: 6.88%, Benchmark: 15.00% (absolute threshold), Difference: 8.12%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.499261] [formula discrepancy] Company: COMP26, Year: 2022, Metric: Return on Equity, Computed: 5.74%, Pre-computed: 13.75%, Difference: 8.01%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.499261] [formula discrepancy] Company: COMP26, Year: 2023, Metric: ROCE, Computed: 6.82%, Benchmark: 15.00% (absolute threshold), Difference: 8.18%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.499261] [formula discrepancy] Company: COMP26, Year: 2023, Metric: Return on Equity, Computed: 5.68%, Pre-computed: 13.75%, Difference: 8.07%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.500263] [formula discrepancy] Company: COMP27, Year: 2010, Metric: ROCE, Computed: 7.74%, Benchmark: 7.89% (sector-relative financials benchmark), Difference: 0.15%, Description: ROCE is below the benchmark of 7.89%.
[2026-07-16T00:43:28.500263] [formula discrepancy] Company: COMP27, Year: 2011, Metric: ROCE, Computed: 7.96%, Benchmark: 8.12% (sector-relative financials benchmark), Difference: 0.15%, Description: ROCE is below the benchmark of 8.12%.
[2026-07-16T00:43:28.500263] [formula discrepancy] Company: COMP27, Year: 2013, Metric: ROCE, Computed: 8.42%, Benchmark: 8.58% (sector-relative financials benchmark), Difference: 0.16%, Description: ROCE is below the benchmark of 8.58%.
[2026-07-16T00:43:28.501264] [formula discrepancy] Company: COMP27, Year: 2014, Metric: ROCE, Computed: 8.66%, Benchmark: 8.83% (sector-relative financials benchmark), Difference: 0.17%, Description: ROCE is below the benchmark of 8.83%.
[2026-07-16T00:43:28.501264] [formula discrepancy] Company: COMP27, Year: 2015, Metric: ROCE, Computed: 8.90%, Benchmark: 9.08% (sector-relative financials benchmark), Difference: 0.17%, Description: ROCE is below the benchmark of 9.08%.
[2026-07-16T00:43:28.501264] [data source issue] Company: COMP27, Metric: ROCE, Computed: 8.90% if calculated, Description: Pre-computed roce_percentage column is missing in companies.xlsx source file.
[2026-07-16T00:43:28.501264] [formula discrepancy] Company: COMP27, Year: 2016, Metric: ROCE, Computed: 9.15%, Benchmark: 9.33% (sector-relative financials benchmark), Difference: 0.18%, Description: ROCE is below the benchmark of 9.33%.
[2026-07-16T00:43:28.501264] [formula discrepancy] Company: COMP27, Year: 2017, Metric: ROCE, Computed: 9.41%, Benchmark: 9.60% (sector-relative financials benchmark), Difference: 0.18%, Description: ROCE is below the benchmark of 9.60%.
[2026-07-16T00:43:28.501264] [formula discrepancy] Company: COMP27, Year: 2018, Metric: ROCE, Computed: 9.68%, Benchmark: 9.87% (sector-relative financials benchmark), Difference: 0.19%, Description: ROCE is below the benchmark of 9.87%.
[2026-07-16T00:43:28.501685] [formula discrepancy] Company: COMP27, Year: 2019, Metric: ROCE, Computed: 9.95%, Benchmark: 10.15% (sector-relative financials benchmark), Difference: 0.19%, Description: ROCE is below the benchmark of 10.15%.
[2026-07-16T00:43:28.501685] [formula discrepancy] Company: COMP27, Year: 2020, Metric: ROCE, Computed: 10.24%, Benchmark: 10.43% (sector-relative financials benchmark), Difference: 0.20%, Description: ROCE is below the benchmark of 10.43%.
[2026-07-16T00:43:28.501685] [formula discrepancy] Company: COMP27, Year: 2021, Metric: ROCE, Computed: 10.53%, Benchmark: 10.73% (sector-relative financials benchmark), Difference: 0.20%, Description: ROCE is below the benchmark of 10.73%.
[2026-07-16T00:43:28.501685] [formula discrepancy] Company: COMP27, Year: 2022, Metric: ROCE, Computed: 10.82%, Benchmark: 11.03% (sector-relative financials benchmark), Difference: 0.21%, Description: ROCE is below the benchmark of 11.03%.
